
7.5 12:12:30
1.78 12:12:46
1.52 12:13:1
2.51 12:13:34
1.79 12:13:50
9.7 12:14:20
2.31 12:14:37
6.27 12:15:2
1.26 12:15:16
1.03 12:15:28
2.51 12:15:46
2.24 12:16:4
2.91 12:16:23
1.38 12:16:37
1.68 12:16:53
1.71 12:17:9
1.16 12:17:22
22.6 12:18:2
1.46 12:18:17
1 12:18:27
1.41 12:18:42
14.33 12:19:16
2.26 12:19:33
1.51 12:19:48
3.11 12:20:8
1.32 12:20:22
4.97 12:20:45
1.34 12:21:0
1.34 12:21:14
8.13 12:21:41
17.27 12:22:17
1.86 12:22:34
1.44 12:22:48
1.46 12:23:3
1.23 12:23:17
1.2 12:23:30
1 12:23:41
2.87 12:24:0
3.1 12:24:20
1.63 12:24:35
1.54 12:24:50
1.5 12:25:5
1.11 12:25:18
1.23 12:25:32
1.46 12:25:47
9.61 12:26:16
13.88 12:26:49
2.59 12:27:7
1.38 12:27:22
1.12 12:27:35
1.42 12:27:49
2.14 12:28:7
11.69 12:28:38
6.01 12:29:2
1.07 12:29:15
1.04 12:29:26
1.27 12:29:40
1.15 12:29:53
4.12 12:30:15
1.1 12:30:28
1.04 12:30:39
29.32 12:31:24
1.36 12:31:38
2.96 12:31:57
3.38 12:32:18
8.68 12:32:46
2.1 12:33:3
1.71 12:33:19
3.28 12:33:39
3.63 12:34:0
1.95 12:34:16
1.22 12:34:30
5.7 12:34:54
4.5 12:35:16


2.32 22:21:28
1.16 22:21:50
5.87 22:22:50
1.35 22:22:50
20.11 22:23:11
1.7 22:23:27
7.63 22:23:54
1.19 22:24:7
3.62 22:24:28
16.1 22:25:3
1.4 22:25:17
2.81 22:25:37
1.65 22:25:53
14.74 22:26:27
1.13 22:26:40
2.62 22:26:58
1.59 22:27:14
2.36 22:27:32
2.64 22:27:50
1.02 22:28:2
6.56 22:28:27
1.51 22:28:42
29.17 22:29:26
6.45 22:29:52
2.26 22:30:9
2.15 22:30:27
26.1 22:31:9
1.3 22:31:23
2.56 22:31:42
3.46 22:32:2
1.42 22:32:17
1.25 22:32:30
3.15 22:33:29
2.47 22:33:48
3.01 22:34:7
3.38 22:34:28
3.32 22:34:48
1.17 22:35:1
2.66 22:35:20
1.99 22:35:37
3.93 22:35:58
1.24 22:36:12
1.15 22:36:25
1.85 22:36:41
2.8 22:37:0
1.76 22:37:16
5.9 22:37:41
1.74 22:37:57
1.78 22:38:13
1.17 22:38:26
1.01 22:38:38
1.11 22:38:50
1.08 22:39:3
2.23 22:39:20
1.1 22:39:33
2.98 22:39:52
5.13 22:40:16
6.36 22:40:41
2.24 22:40:59
1.71 22:41:14
8.05 22:41:42
1.68 22:41:58
1.57 22:42:13
2.07 22:42:30
2.39 22:42:48
1 22:42:59
1.21 22:43:12
1.91 22:43:29
3.84 22:43:50
2.01 22:44:7
15.56 22:46:23
13.79 22:46:56
3.44 22:47:17
4.7 22:47:39
10.06 22:48:9
1.83 22:48:25
6.55 22:48:51
2.53 22:49:9
1.3 22:49:23
32.62 22:50:9
22.34 22:50:49
1 22:51:0
3.93 22:51:21
20.8 22:52:0
4.01 22:52:21
2.61 22:52:40
1.3 22:52:54
10.88 22:53:59
1.36 22:54:14
1.73 22:54:30
1.08 22:54:42
4.84 22:55:5
7.47 22:55:32
1.17 22:55:45
4.33 22:56:7
2.58 22:56:26
6 22:56:50
5.51 22:57:14
2.12 22:57:32
3.06 22:57:51
7.38 22:58:18
15.76 22:58:53
1.1 22:59:5
1.59 22:59:21
1.96 22:59:38
1.86 22:59:54

1.23 13:10:25
3.2 13:11:38
1.54 13:12:9
5.51 13:16:42
1.75 13:16:58
1.47 13:18:34
4.47 13:18:57
1.24 13:19:10
1.05 13:19:22
6.49 13:19:48
4.48 13:20:10
1.03 13:20:22
8.74 13:20:50
1.02 13:21:1
2.32 13:21:19
13.52 13:21:52
1.23 13:22:5
2.53 13:22:24
1.01 13:22:35
1.28 13:22:49
1 13:22:59
1 13:23:10
2.35 13:23:28
1.07 13:23:40
1.7 13:23:56
1.15 13:24:9
4.41 13:24:31
1.03 13:24:43
3.24 13:25:3
1.87 13:25:19
2.77 13:25:38
2.59 13:25:57
4.6 13:26:19
1.19 13:26:33
1.16 13:26:46
2.03 13:27:3
1.11 13:27:15
2.46 13:27:34
1.96 13:27:50
1.65 13:28:6
1.02 13:28:17
4.01 13:28:39
14.21 13:29:12
3.09 13:29:32
2.05 13:29:49
2.51 13:30:7
7.15 13:30:34
11.51 13:32:32
21.73 13:33:12
3.15 13:33:31
2.82 13:33:51
1.1 13:34:3
1.44 13:34:18
8.15 13:35:41
3.83 13:36:2
1.03 13:36:14
9.24 13:36:42
4.19 13:37:4
1.17 13:37:17
4.99 13:37:40
1.8 13:37:56
2.85 13:38:16
1.2 13:38:29
1.95 13:38:46
1.75 13:39:2
3.32 13:39:22
1.09 13:39:34
31.31 13:40:20
2.22 13:40:37
3.4 13:40:57
1.07 13:41:10
2.09 13:41:27
1.3 13:41:41
1.88 13:41:57
1.98 13:42:14
2.16 13:42:32
2.48 13:42:50
2.01 13:43:7
2.45 13:43:25
8.31 13:43:52
1 13:44:3
1.54 13:44:18
2.15 13:44:35
2.55 13:44:54
1.43 13:45:9
2.44 13:45:27
