3.75 5:16:38:42
1.16 5:16:38:55
1.61 5:16:39:10
3.18 5:16:39:30
5.65 5:16:39:54
1.76 5:16:40:10
1.8 5:16:40:26
1.69 5:16:40:42
1.64 5:16:40:58
1.25 5:16:41:12
1.04 5:16:41:23
1.04 5:16:41:35
2.4 5:16:41:53
11.58 5:16:42:24
3.78 5:16:42:45
1.47 5:16:43:0
8.08 5:16:43:28
12.03 5:16:44:5
1.37 5:16:44:20
2.82 5:16:44:39
1 5:16:44:49
1.37 5:16:45:4
3.92 5:16:45:25
1.07 5:16:45:37
27.26 5:16:46:20
1.59 5:16:46:36
10.37 5:16:52:37
1.42 5:16:52:52
1 5:16:53:2
4.25 5:16:53:24
1.2 5:16:53:38
3.13 5:16:53:57
2.65 5:16:54:16
1.52 5:16:54:31
1.21 5:16:54:45
3.58 5:16:55:5
1.31 5:16:55:19
1.63 5:16:55:35
1.37 5:16:55:49
2.24 5:16:56:7
2.23 5:16:56:24
10.13 5:16:56:54
1.09 5:16:57:7
1 5:16:57:17
25.96 5:16:57:59
1.08 5:16:58:12
2.99 5:16:58:31
1.43 5:16:58:46
2 5:16:59:3
6.83 5:17:0:5
1.15 5:17:0:18
2.09 5:17:0:36
1.49 5:17:0:51
2.31 5:17:1:8
3.05 5:17:1:28
2.24 5:17:1:46
7.9 5:17:2:13
4.47 5:17:2:35
1.08 5:17:2:47
1.15 5:17:3:0
4.15 5:17:3:22
6.87 5:17:3:48
30.89 5:17:4:33
23.63 5:17:5:14
