3.47 6:17:0:7
1 6:17:0:18
1.38 6:17:0:32
1.37 6:17:0:47
1 6:17:0:57
1.42 6:17:1:12
3.43 6:17:1:32
6.01 6:17:1:57
1.56 6:17:2:12
14.96 6:17:2:47
11.38 6:17:3:18
1.47 6:17:3:32
3.96 6:17:3:54
19.25 6:17:4:31
1.48 6:17:4:46
22.22 6:17:5:26
1 6:17:5:37
23.72 6:17:6:17
3.26 6:17:6:37
1 6:17:6:48
2.4 6:17:7:6
2.21 6:17:7:23
2.5 6:17:7:42
2.28 6:17:7:59
1.01 6:17:8:11
4.95 6:17:8:34
4.49 6:17:8:56
3.61 6:17:9:17
1.13 6:17:9:30
1.74 6:17:9:46
30.98 6:17:10:31
5.2 6:17:10:54
1.24 6:17:11:9
1.87 6:17:11:24
1.93 6:17:11:41
1.03 6:17:11:53
20.47 6:17:12:31
1.84 6:17:12:48
3.98 6:17:13:9
1.82 6:17:13:25
1.28 6:17:13:39
1.38 6:17:13:54
6.98 6:17:14:20
1.91 6:17:14:36
1.23 6:17:14:50
1.95 6:17:15:7
19.04 6:17:15:44
2.29 6:17:16:2
1.47 6:17:16:17
1.22 6:17:16:30
2.36 6:17:16:48
1.78 6:17:17:4
3.27 6:17:17:24
4.05 6:17:17:46
1.26 6:17:18:0
6.24 6:17:18:25
4.23 6:17:18:47
1.76 6:17:19:3
4.08 6:17:19:25
1.18 6:17:19:38
1.62 6:17:19:53
1.68 6:17:20:9
1.2 6:17:20:22
6.14 6:17:20:47
3.55 6:17:21:8
1.53 6:17:21:23
1.78 6:17:21:39
7.06 6:17:22:5
2.3 6:17:22:23
1.53 6:17:22:38
1.29 6:17:22:52
11.17 6:17:23:23
5.45 6:17:23:47
6.23 6:17:24:12
2.11 6:17:24:29
3.07 6:17:24:49
1.18 6:17:25:2
1.77 6:17:25:18
1.24 6:17:25:32
22.05 6:17:26:11
3.42 6:17:26:32
22.92 6:17:27:12
2.72 6:17:27:31
7.48 6:17:27:58
1.48 6:17:28:12
1.04 6:17:28:24
1.39 6:17:28:39
1.29 6:17:28:53
2.24 6:17:29:10
2.64 6:17:29:29
5.13 6:17:29:52
2.85 6:17:30:12
1.58 6:17:30:27
1.23 6:17:30:41
2.38 6:17:30:59
1 6:17:31:9
1.89 6:17:31:26
13.07 6:17:31:58
1.84 6:17:32:15
1.38 6:17:32:29
1.46 6:17:32:44
1.17 6:17:32:57
1.61 6:17:33:13
4.81 6:17:33:36
2.95 6:17:33:55
1.95 6:17:34:12
1.91 6:17:34:28
1 6:17:34:39
1.77 6:17:34:55
12.78 6:17:35:27
1.42 6:17:35:42
7.4 6:17:36:8
8.01 6:17:36:36
1.51 6:17:36:51
3.62 6:17:37:12
4.13 6:17:37:33
1.04 6:17:37:45
1.29 6:17:37:59
2.11 6:17:38:16
1.3 6:17:38:30
1.14 6:17:38:43
2.76 6:17:39:2
1.87 6:17:39:19
10.24 6:17:39:49
3.36 6:17:40:9
1 6:17:40:19
1.61 6:17:40:35
3.59 6:17:40:56
5.07 6:17:41:19
4.03 6:17:41:40
1.06 6:17:41:53
1.08 6:17:42:5
1.2 6:17:42:18
1.7 6:17:42:35
1.24 6:17:42:48
5.59 6:17:43:12
2.66 6:17:43:31
1.06 6:17:43:47
5.73 6:17:44:12
8.68 6:17:44:24
2.55 6:17:44:43
1.51 6:17:44:58
1.08 6:17:45:10
1.31 6:17:45:24
2.64 6:17:45:43
7.74 6:17:46:10
1 6:17:46:21
7.26 6:17:46:47
1.61 6:17:47:2
1.75 6:17:47:18
7.6 6:17:47:45
1.11 6:17:47:58
1.51 6:17:48:13
8.39 6:17:48:41
8.94 6:17:49:9
1.05 6:17:49:21
1.01 6:17:49:32
1.35 6:17:49:47
1.28 6:17:50:0
5.6 6:17:50:25
1.78 6:17:50:41
1.3 6:17:50:55
33.04 6:17:51:41
1.89 6:17:51:58
6.02 6:17:52:22
1 6:17:52:33
1.08 6:17:52:45
1.87 6:17:53:2
1.38 6:17:53:16
6.26 6:17:53:41
1.58 6:17:53:57
1.07 6:17:54:9
1.61 6:17:54:24
1.16 6:17:54:38
13.69 6:17:55:11
1.12 6:17:55:24
1.06 6:17:55:35
1.2 6:17:55:49
1.22 6:17:56:2
29.15 6:17:56:47
1.86 6:17:57:3
2.45 6:17:57:21
1.11 6:17:57:34
1.12 6:17:57:47
5.34 6:17:58:10
2.6 6:17:58:29
13.74 6:17:59:2
4.55 6:17:59:25
1.28 6:17:59:38
