3.53 13:9:7:2 Нийт:1 X:0 W:1 3.53 +++ 1
24.88 13:9:7:44 Нийт:2 X:0 W:2 14.2 +++ 2
1.58 13:9:7:59 Нийт:3 X:1 W:2 9.99 --- 1
1 13:9:8:10 Нийт:4 X:2 W:2 7.74 --- 0
1 13:9:8:20 Нийт:5 X:3 W:2 6.39 --- -1
2.47 13:9:8:38 Нийт:6 X:3 W:3 5.74 +++ 0
1.08 13:9:8:51 Нийт:7 X:4 W:3 5.07 --- -1
24.01 13:9:9:32 Нийт:8 X:4 W:4 7.44 +++ 0
1.38 13:9:9:46 Нийт:9 X:5 W:4 6.77 --- -1
1.42 13:9:10:1 Нийт:10 X:6 W:4 6.23 --- -2
5.09 13:9:10:24 Нийт:11 X:6 W:5 6.13 +++ -1
1.69 13:9:10:40 Нийт:12 X:7 W:5 5.76 --- -2
1.67 13:9:10:55 Нийт:13 X:8 W:5 5.44 --- -3
1.4 13:9:11:10 Нийт:14 X:9 W:5 5.15 --- -4
23.76 13:9:11:51 Нийт:15 X:9 W:6 6.39 +++ -3
9.82 13:9:12:20 Нийт:16 X:9 W:7 6.61 +++ -2
2.34 13:9:12:38 Нийт:17 X:9 W:8 6.36 +++ -1
1.11 13:9:12:51 Нийт:18 X:10 W:8 6.06 --- -2
1.35 13:9:13:5 Нийт:19 X:11 W:8 5.82 --- -3
3.02 13:9:13:24 Нийт:20 X:11 W:9 5.68 +++ -2
1.75 13:9:13:41 Нийт:21 X:12 W:9 5.49 --- -3
1.49 13:9:13:55 Нийт:22 X:13 W:9 5.31 --- -4
2.72 13:9:14:14 Нийт:23 X:13 W:10 5.19 +++ -3
1.36 13:9:14:29 Нийт:24 X:14 W:10 5.03 --- -4
1.13 13:9:14:41 Нийт:25 X:15 W:10 4.88 --- -5
1.46 13:9:14:56 Нийт:26 X:16 W:10 4.75 --- -6
3.61 13:9:15:17 Нийт:27 X:16 W:11 4.7 +++ -5
5.98 13:9:15:42 Нийт:28 X:16 W:12 4.75 +++ -4
13.84 13:9:16:15 Нийт:29 X:16 W:13 5.06 +++ -3
1.87 13:9:16:31 Нийт:30 X:17 W:13 4.96 --- -4
5.97 13:9:16:56 Нийт:31 X:17 W:14 4.99 +++ -3
24.95 13:9:17:37 Нийт:32 X:17 W:15 5.61 +++ -2
3 13:9:17:57 Нийт:33 X:17 W:16 5.53 +++ -1
4.68 13:9:18:20 Нийт:34 X:17 W:17 5.51 +++ 0
1.06 13:9:18:32 Нийт:35 X:18 W:17 5.38 --- -1
1.84 13:9:18:48 Нийт:36 X:19 W:17 5.28 --- -2
1.66 13:9:19:4 Нийт:37 X:20 W:17 5.18 --- -3
1.19 13:9:19:17 Нийт:38 X:21 W:17 5.08 --- -4
1.25 13:9:19:31 Нийт:39 X:22 W:17 4.98 --- -5
10.74 13:9:20:1 Нийт:40 X:22 W:18 5.12 +++ -4
1.43 13:9:20:16 Нийт:41 X:23 W:18 5.03 --- -5
1.08 13:9:20:28 Нийт:42 X:24 W:18 4.94 --- -6
1.02 13:9:20:39 Нийт:43 X:25 W:18 4.85 --- -7
6.74 13:9:21:5 Нийт:44 X:25 W:19 4.89 +++ -6
1.08 13:9:21:17 Нийт:45 X:26 W:19 4.81 --- -7
2.14 13:9:21:35 Нийт:46 X:26 W:20 4.75 +++ -6
11.77 13:9:22:6 Нийт:47 X:26 W:21 4.9 +++ -5
3.26 13:9:22:26 Нийт:48 X:26 W:22 4.86 +++ -4
2.61 13:9:22:45 Нийт:49 X:26 W:23 4.82 +++ -3
4.29 13:9:23:7 Нийт:50 X:26 W:24 4.81 +++ -2
9.81 13:9:23:36 Нийт:51 X:26 W:25 4.9 +++ -1
1.7 13:9:23:52 Нийт:52 X:27 W:25 4.84 --- -2
1.18 13:9:24:5 Нийт:53 X:28 W:25 4.77 --- -3
3.4 13:9:24:25 Нийт:54 X:28 W:26 4.75 +++ -2
1.79 13:9:24:41 Нийт:55 X:29 W:26 4.69 --- -3
2.38 13:9:24:59 Нийт:56 X:29 W:27 4.65 +++ -2
1.4 13:9:25:14 Нийт:57 X:30 W:27 4.6 --- -3
1.04 13:9:25:26 Нийт:58 X:31 W:27 4.53 --- -4
1.51 13:9:25:41 Нийт:59 X:32 W:27 4.48 --- -5
3.58 13:9:26:2 Нийт:60 X:32 W:28 4.47 +++ -4
8.57 13:9:26:30 Нийт:61 X:32 W:29 4.53 +++ -3
3.21 13:9:26:49 Нийт:62 X:32 W:30 4.51 +++ -2
1.83 13:9:27:6 Нийт:63 X:33 W:30 4.47 --- -3
