1.3 11:11:0:9
3.1 11:11:0:28
4.89 11:11:0:51
23.25 11:11:1:32
21.09 11:11:2:11
1.43 11:11:2:25
1.67 11:11:2:41
1.19 11:11:2:54
1.04 11:11:3:6
32.05 11:11:3:52
24.68 11:11:4:33
1.13 11:11:4:46
20.43 11:11:5:25
2.25 11:11:5:42
2.29 11:11:6:3
21.1 11:11:6:39
6.26 11:11:7:4
1.52 11:11:7:19
1.58 11:11:7:34
15.01 11:11:8:9
9.91 11:11:8:38
11.64 11:11:9:9
1.17 11:11:9:22
1.4 11:11:9:37
1.27 11:11:9:51
25.77 11:11:10:33
1.01 11:11:10:44
1.88 11:11:11:0
2.34 11:11:11:18
1.08 11:11:11:31
1.75 11:11:11:47
3.24 11:11:12:7
1.11 11:11:12:19
34.5 11:11:13:6
2.11 11:11:13:24
17.2 11:11:14:0
1.28 11:11:14:14
3.27 11:11:14:34
1.03 11:11:14:45
13.59 11:11:15:18
1.51 11:11:15:33
9.38 11:11:16:2
1.11 11:11:16:15
1.02 11:11:16:26
1.3 11:11:16:40
2.38 11:11:16:58
23.63 11:11:17:39
3.06 11:11:17:59
6.49 11:11:18:24
4.63 11:11:18:47
2.26 11:11:19:5
1.1 11:11:19:17
5.13 11:11:19:40
1.17 11:11:19:53
2.19 11:11:20:11
1.63 11:11:20:26
2.51 11:11:20:45
6.66 11:11:21:10
21.1 11:11:21:49
2.36 11:11:22:7
1.42 11:11:22:22
1.69 11:11:22:38
1.06 11:11:22:50
2.1 11:11:23:7
5.09 11:11:23:30
2.97 11:11:23:50
2.69 11:11:24:8
1.68 11:11:24:24
1.18 11:11:24:37
1.01 11:11:24:49
4.09 11:11:25:10
3.52 11:11:25:31
2.87 11:11:25:50
3.28 11:11:26:10
25.67 11:11:26:52
1.01 11:11:27:3
1.15 11:11:27:16
1.25 11:11:27:30
3.65 11:11:27:51
2.19 11:11:28:8
27.36 11:11:28:51
1.72 11:11:29:7
1.08 11:11:29:20
1.56 11:11:29:35
21.27 11:11:30:14
7.49 11:11:30:41
6.66 11:11:31:6
1.11 11:11:31:19
1.34 11:11:31:34
1.1 11:11:31:46
5.93 11:11:32:11
1.29 11:11:32:25
2.9 11:11:32:44
1.52 11:11:32:59
8.88 11:11:33:27
2.32 11:11:33:45
1.18 11:11:33:58
6.89 11:11:34:24
1.96 11:11:34:41
1.12 11:11:34:54
2.14 11:11:35:11
1.46 11:11:35:26
2.8 11:11:35:45
1.02 11:11:35:56
1.19 11:11:36:10
2.21 11:11:36:27
1.12 11:11:36:40
1 11:11:36:51
1.05 11:11:37:2
1.03 11:11:37:14
2.1 11:11:37:31
1.04 11:11:37:43
1.36 11:11:37:58
1.76 11:11:38:14
1.14 11:11:38:26
6.05 11:11:38:51
8.63 11:11:39:19
22.48 11:11:39:59
2.1 11:11:40:16
2 11:11:40:33
1.67 11:11:40:49
2.87 11:11:41:8
1.52 11:11:41:23
1.08 11:11:41:35
5.4 11:11:41:59
1.07 11:11:42:11
2.45 11:11:42:30
1.64 11:11:42:45
1.53 11:11:43:0
2.34 11:11:43:18
5.14 11:11:43:42
2.63 11:11:44:0
1.52 11:11:44:15
1.4 11:11:44:30
1.05 11:11:44:42
2.51 11:11:45:0
12.15 11:11:45:32
1 11:11:45:42
2.13 11:11:46:0
1.88 11:11:46:16
1.54 11:11:46:31
4.78 11:11:46:54
4.83 11:11:47:17
3.85 11:11:47:38
1.06 11:11:47:50
1.64 11:11:48:6
5.56 11:11:48:30
1.07 11:11:48:42
1.3 11:11:48:56
7.45 11:11:49:23
1.15 11:11:49:36
3.6 11:11:49:56
1.23 11:11:50:10
23.06 11:11:50:50
1 11:11:51:1
2.42 11:11:51:19
7.11 11:11:51:45
7.01 11:11:52:11
1.13 11:11:52:24
6.41 11:11:52:49
14.6 11:11:53:23
2.29 11:11:53:41
1.15 11:11:53:54
29.97 11:11:54:38
1.13 11:11:54:51
2.8 11:11:55:10
3.31 11:11:55:30
1 11:11:55:41
1.29 11:11:55:55
1.27 11:11:56:9
1.07 11:11:56:21
1.43 11:11:56:36
1.23 11:11:56:49
1.96 11:11:57:6
1.49 11:11:57:21
1.21 11:11:57:35
1.39 11:11:57:49
1.92 11:11:58:5
2.4 11:11:58:24
1.33 11:11:58:38
1.76 11:11:58:54
3.19 11:11:59:15
6.36 11:11:59:39
1.02 11:11:59:51
