1.03 12:13:0:8 Нийт:0 X:1 W:0 Infinity ---
1.43 12:13:0:22 Нийт:1 X:2 W:0 2.46 ---
27.7 12:13:1:6 Нийт:2 X:2 W:1 15.08 +++
2.03 12:13:1:23 Нийт:3 X:2 W:2 10.729999999999999 +++
5.18 12:13:1:46 Нийт:4 X:2 W:3 9.3425 +++
1.32 12:13:2:0 Нийт:5 X:3 W:3 7.7379999999999995 ---
1.43 12:13:2:15 Нийт:6 X:4 W:3 6.6866666666666665 ---
1.35 12:13:2:29 Нийт:7 X:5 W:3 5.924285714285714 ---
2.67 12:13:2:48 Нийт:8 X:5 W:4 5.5175 +++
4.14 12:13:3:10 Нийт:9 X:5 W:5 5.364444444444445 +++
1.83 12:13:3:26 Нийт:10 X:6 W:5 5.011 ---
30.56 12:13:4:11 Нийт:11 X:6 W:6 7.333636363636364 +++
5.31 12:13:4:34 Нийт:12 X:6 W:7 7.165 +++
2.83 12:13:4:54 Нийт:13 X:6 W:8 6.831538461538462 +++
6.86 12:13:5:19 Нийт:14 X:6 W:9 6.833571428571429 +++
1.21 12:13:5:33 Нийт:15 X:7 W:9 6.458666666666667 ---
4.12 12:13:5:55 Нийт:16 X:7 W:10 6.3125 +++
1.18 12:13:6:8 Нийт:17 X:8 W:10 6.010588235294118 ---
1.11 12:13:6:20 Нийт:18 X:9 W:10 5.738333333333333 ---
2.19 12:13:6:38 Нийт:19 X:9 W:11 5.551578947368421 +++
3.77 12:13:6:59 Нийт:20 X:9 W:12 5.4625 +++
23.57 12:13:7:40 Нийт:21 X:9 W:13 6.324761904761904 +++
1.27 12:13:7:53 Нийт:22 X:10 W:13 6.095 ---
1.46 12:13:8:8 Нийт:23 X:11 W:13 5.893478260869566 ---
1.9 12:13:8:25 Нийт:24 X:12 W:13 5.727083333333334 ---
21.7 12:13:9:4 Нийт:25 X:12 W:14 6.3660000000000005 +++
1.26 12:13:9:18 Нийт:26 X:13 W:14 6.169615384615384 ---
6.14 12:13:9:43 Нийт:27 X:13 W:15 6.168518518518518 +++
1 12:13:9:53 Нийт:28 X:14 W:15 5.983928571428571 ---
1.83 12:13:10:10 Нийт:29 X:15 W:15 5.8406896551724135 ---
2.61 12:13:10:28 Нийт:30 X:15 W:16 5.7330000000000005 +++
8.52 12:13:10:56 Нийт:31 X:15 W:17 5.822903225806452 +++
1.39 12:13:11:10 Нийт:32 X:16 W:17 5.684375 ---
17.69 12:13:11:47 Нийт:33 X:16 W:18 6.048181818181818 +++
2.17 12:13:12:4 Нийт:34 X:16 W:19 5.934117647058823 +++
10.51 12:13:12:34 Нийт:35 X:16 W:20 6.064857142857142 +++
2.43 12:13:12:52 Нийт:36 X:16 W:21 5.963888888888889 +++
1.65 12:13:13:8 Нийт:37 X:17 W:21 5.847297297297297 ---
2.09 12:13:13:25 Нийт:38 X:17 W:22 5.748421052631579 +++
2.93 12:13:13:44 Нийт:39 X:17 W:23 5.676153846153846 +++
1.18 12:13:13:58 Нийт:40 X:18 W:23 5.563750000000001 ---
20.9 12:13:14:36 Нийт:41 X:18 W:24 5.937804878048781 +++
2.06 12:13:14:54 Нийт:42 X:18 W:25 5.845476190476191 +++
15.7 12:13:15:28 Нийт:43 X:18 W:26 6.0746511627906985 +++
2.32 12:13:15:46 Нийт:44 X:18 W:27 5.989318181818183 +++
2.25 12:13:16:4 Нийт:45 X:18 W:28 5.9062222222222225 +++
1.05 12:13:16:16 Нийт:46 X:19 W:28 5.800652173913044 ---
1.95 12:13:16:32 Нийт:47 X:20 W:28 5.71872340425532 ---
1.26 12:13:16:46 Нийт:48 X:21 W:28 5.6258333333333335 ---
31.81 12:13:17:32 Нийт:49 X:21 W:29 6.160204081632654 +++
1.28 12:13:17:46 Нийт:50 X:22 W:29 6.0626 ---
2.94 12:13:18:5 Нийт:51 X:22 W:30 6.0013725490196075 +++
7.33 12:13:18:32 Нийт:52 X:22 W:31 6.026923076923077 +++
2.89 12:13:18:51 Нийт:53 X:22 W:32 5.967735849056603 +++
33.17 12:13:19:37 Нийт:54 X:22 W:33 6.471481481481481 +++
1.44 12:13:19:52 Нийт:55 X:23 W:33 6.38 ---
1.54 12:13:20:7 Нийт:56 X:24 W:33 6.293571428571428 ---
1.39 12:13:20:22 Нийт:57 X:25 W:33 6.207543859649123 ---
3.39 12:13:20:42 Нийт:58 X:25 W:34 6.158965517241379 +++
2.59 12:13:21:0 Нийт:59 X:25 W:35 6.098474576271186 +++
9.55 12:13:21:29 Нийт:60 X:25 W:36 6.156 +++
1.5 12:13:21:44 Нийт:61 X:26 W:36 6.07967213114754 ---
6.87 12:13:22:10 Нийт:62 X:26 W:37 6.092419354838709 +++
2.51 12:13:22:29 Нийт:63 X:26 W:38 6.035555555555555 +++
1.3 12:13:22:43 Нийт:64 X:27 W:38 5.961562499999999 ---
1.19 12:13:22:56 Нийт:65 X:28 W:38 5.888153846153846 ---
1.89 12:13:23:13 Нийт:66 X:29 W:38 5.827575757575757 ---
2.12 12:13:23:30 Нийт:67 X:29 W:39 5.772238805970148 +++
1.46 12:13:23:45 Нийт:68 X:30 W:39 5.708823529411764 ---
2.89 12:13:24:4 Нийт:69 X:30 W:40 5.667971014492752 +++
2.31 12:13:24:22 Нийт:70 X:30 W:41 5.619999999999999 +++
1.85 12:13:24:38 Нийт:71 X:31 W:41 5.566901408450703 ---
1.71 12:13:24:54 Нийт:72 X:32 W:41 5.513333333333332 ---
4.82 12:13:25:17 Нийт:73 X:32 W:42 5.503835616438355 +++
1.1 12:13:25:29 Нийт:74 X:33 W:42 5.444324324324324 ---
1.35 12:13:25:44 Нийт:75 X:34 W:42 5.389733333333333 ---
1.81 12:13:26:0 Нийт:76 X:35 W:42 5.342631578947368 ---
3.12 12:13:26:20 Нийт:77 X:35 W:43 5.313766233766233 +++
