1.46 12:21:0:13 Нийт:1 X:1 W:0 1.46 ---
1.56 12:21:0:28 Нийт:3 X:2 W:0 1 ---
3.13 12:21:0:48 Нийт:5 X:2 W:1 1.23 +++
7.49 12:21:1:15 Нийт:7 X:2 W:2 1.94 +++
1.39 12:21:1:29 Нийт:9 X:3 W:2 1.67 ---
1.4 12:21:1:44 Нийт:11 X:4 W:2 1.49 ---
2.88 12:21:2:3 Нийт:13 X:4 W:3 1.48 +++
1.1 12:21:2:16 Нийт:15 X:5 W:3 1.36 ---
1.26 12:21:2:29 Нийт:17 X:6 W:3 1.27 ---
1.72 12:21:2:45 Нийт:19 X:7 W:3 1.23 ---
1.79 12:21:3:2 Нийт:21 X:8 W:3 1.19 ---
21.42 12:21:3:41 Нийт:23 X:8 W:4 2.02 +++
1.02 12:21:3:52 Нийт:25 X:9 W:4 1.9 ---
1.45 12:21:4:7 Нийт:27 X:10 W:4 1.81 ---
7.84 12:21:4:34 Нийт:29 X:10 W:5 1.96 +++
1.44 12:21:6:55 Нийт:31 X:11 W:5 1.88 ---
2.7 12:21:7:14 Нийт:33 X:11 W:6 1.85 +++
1.15 12:21:7:27 Нийт:35 X:12 W:6 1.77 ---
10.12 12:21:7:56 Нийт:37 X:12 W:7 1.95 +++
1.69 12:21:8:12 Нийт:39 X:13 W:7 1.89 ---
2.69 12:21:8:31 Нийт:41 X:13 W:8 1.87 +++
8.63 12:21:8:59 Нийт:43 X:13 W:9 1.98 +++
2.26 12:21:9:17 Нийт:45 X:13 W:10 1.94 +++
2.59 12:21:9:35 Нийт:47 X:13 W:11 1.91 +++
1.87 12:21:9:52 Нийт:49 X:14 W:11 1.87 ---
1.78 12:21:10:8 Нийт:51 X:15 W:11 1.83 ---
1.33 12:21:10:22 Нийт:53 X:16 W:11 1.79 ---
9.58 12:21:10:51 Нийт:55 X:16 W:12 1.9 +++
1.12 12:21:11:4 Нийт:57 X:17 W:12 1.85 ---
3.53 12:21:11:25 Нийт:59 X:17 W:13 1.85 +++
2.15 12:21:11:42 Нийт:61 X:17 W:14 1.82 +++
5.1 12:21:12:5 Нийт:63 X:17 W:15 1.85 +++
2.45 12:21:12:24 Нийт:65 X:17 W:16 1.83 +++
1.19 12:21:12:37 Нийт:67 X:18 W:16 1.79 ---
6.35 12:21:13:2 Нийт:69 X:18 W:17 1.83 +++
1.53 12:21:13:17 Нийт:71 X:19 W:17 1.8 ---
2.07 12:21:13:34 Нийт:73 X:19 W:18 1.78 +++
13.03 12:21:14:7 Нийт:75 X:19 W:19 1.91 +++
1.03 12:21:14:19 Нийт:77 X:20 W:19 1.87 ---
1.11 12:21:14:32 Нийт:79 X:21 W:19 1.84 ---
10.53 12:21:15:2 Нийт:81 X:21 W:20 1.92 +++
1.36 12:21:15:16 Нийт:83 X:22 W:20 1.89 ---
2.02 12:21:15:33 Нийт:85 X:22 W:21 1.87 +++
1.72 12:21:15:49 Нийт:87 X:23 W:21 1.85 ---
2.3 12:21:16:7 Нийт:89 X:23 W:22 1.83 +++
3.37 12:21:16:27 Нийт:91 X:23 W:23 1.83 +++
22.7 12:21:17:7 Нийт:93 X:23 W:24 2.03 +++
1.14 12:21:17:20 Нийт:95 X:24 W:24 2 ---
3.82 12:21:17:41 Нийт:97 X:24 W:25 2 +++
2.23 12:21:17:59 Нийт:99 X:24 W:26 1.98 +++
1.21 12:21:18:12 Нийт:101 X:25 W:26 1.95 ---
1.8 12:21:18:29 Нийт:103 X:26 W:26 1.93 ---
5.06 12:21:18:52 Нийт:105 X:26 W:27 1.94 +++
1.17 12:21:19:5 Нийт:107 X:27 W:27 1.92 ---
1.22 12:21:19:19 Нийт:109 X:28 W:27 1.89 ---
6.36 12:21:19:44 Нийт:111 X:28 W:28 1.92 +++
1.5 12:21:19:59 Нийт:113 X:29 W:28 1.9 ---
